DiseaseName	Regulator	Target	RegulationDiretion	Experimental.method.for.lncRNA.target	ExpressionPattern	Experimental.method.for.lncRNA.expression	Data.accession	Data.accession2	influencedFunction	regulatoryMechanism	regulatoryType	levelOfRegulation	Drugs	cancerStemCell	hallmark	diseaseCategory	DiseaseName2	RegulatorType	TargetType	RegulatorEnsembleID	lncRegulatorPosition	TargetEnsembleID	lncTargetPosition	RegulatorEntrezID	TargetEntrezID	RegulatorAliases	TargetAliases	Evidence	PubMedID	RID	SearchregulatoryMechanism
Gastric cancer	CDKN2B-AS1	SUZ12	interact	RIP;ChIP	upregulation	qPCR	NA	NA	cell proliferation(+);apoptosis process(-)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals;Evading Apoptosis	Cancer	Gastric cancer	lncRNA	PCG	ENSG00000240498	GRCh38_9:21994139-22128103	ENSG00000178691	NA	100048912	23512	ANRIL|CDKN2B-AS|CDKN2BAS|NCRNA00089|PCAT12|p15AS	CHET9|JJAZ1	Long noncoding RNA ANRIL indicates a poor prognosis of gastric cancer and promotes tumor growth by epigenetically silencing of miR-99a/miR-449a.We also showed that E2F1 could induce ANRIL and ANRIL-mediated growth promotion is in part due to epigenetic repression of miR-99a/miR-449a in Trans (controlling the targets--mTOR and CDK6/E2F1 pathway) by binding to PRC2, thus forming a positive feedback loop, continuing to promote GC cell proliferation.Long noncoding RNA ANRIL promotes non-small cell lung cancer cell proliferation and inhibits apoptosis by silencing KLF2 and P21 expression. Our previous study showed that ANRIL was significantly upregulated in gastric cancer, and it could promote cell proliferation and inhibit cell apoptosis by silencing of miR99a and miR449a transcription.Moreover, using an antibody specific to SUZ12, another member of the PRC2 complex, we also observed that endogenous ANRIL was obviously enriched in the anti-SUZ12 RNA-IP fraction.	24810364;25504755	RID02746	interact with protein
Glioblastoma	APTR	EZH2	interact	ChIP;luciferase reporter assay;RNA pull-down assay	upregulation	qPCR	NA	NA	cell proliferation(-)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Brain glioma	lncRNA	PCG	ENSG00000214293	GRCh38_7:77657659-77696267	ENSG00000106462	NA	100505854	2146	RSBN1L-AS1	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	A new lncRNA, APTR, associates with and represses the CDKN1A/p21 promoter by recruiting polycomb proteins. APTR is present in immunoprecipitates of EZH2 or SUZ12, but not of ORC2 (negative control protein). An unrelated RNA, GAPDH mRNA was also not precipitated with EZH2 or SUZ12.	24748121	RID02747	interact with protein
Glioblastoma	APTR	SUZ12	interact	ChIP;luciferase reporter assay;RNA pull-down assay	upregulation	qPCR	NA	NA	cell proliferation(-)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Brain glioma	lncRNA	PCG	ENSG00000214293	GRCh38_7:77657659-77696267	ENSG00000178691	NA	100505854	23512	RSBN1L-AS1	CHET9|JJAZ1	A new lncRNA, APTR, associates with and represses the CDKN1A/p21 promoter by recruiting polycomb proteins. APTR is present in immunoprecipitates of EZH2 or SUZ12, but not of ORC2 (negative control protein). An unrelated RNA, GAPDH mRNA was also not precipitated with EZH2 or SUZ12.	24748121	RID02748	interact with protein
Pancreatic cancer	HOTTIP	WDR5	interact	RIP	upregulation	qPCR	NA	NA	cell stemness(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Limitless Replicative Potential	Cancer	Pancreatic cancer	lncRNA	PCG	ENSG00000243766	GRCh38_7:27198575-27207259	ENSG00000196363	NA	100316868	11091	HOXA-AS6|HOXA13-AS1|NCRNA00213	BIG-3|CFAP89|SWD3	LncRNA HOTTIP modulates cancer stem cell properties in human pancreatic cancer by regulating HOXA9; HOTTIP mediated HOXA9 to enhance the Wnt/beta-catenin pathway by binding to WDR5 in PCSCs;the HOTTIP/WDR5/HOXA9/Wnt axis contributes to PCSC stemness and is a potential therapeutic target for PDAC.	28947139	RID02749	interact with protein
Urinary bladder cancer	LINC00958	WDR5	interact	RIP;RNA pull-down assay	upregulation	qPCR	NA	NA	cell metastasis(-)	interact with protein	binding/interaction	RNA-protein	NA	NA	Tissue Invasion and Metastasis	Cancer	Urinary bladder cancer	lncRNA	PCG	ENSG00000251381	GRCh38_11:12961541-12989597	ENSG00000196363	NA	100506305	11091	BLACAT2	BIG-3|CFAP89|SWD3	Long noncoding RNA BLACAT2 promotes bladder cancer-associated lymphangiogenesis and lymphatic metastasis. we demonstrate that BLACAT2 epigenetically upregulation VEGF-C expression by directly associating with WDR5, a core subunit of human H3K4 methyltransferase complexes.	29355840	RID02750	interact with protein
Gastric cancer	HOXA11-AS	WDR5	interact	ChIP;RIP;RNAi	upregulation	qPCR	NA	NA	cell cycle(+);cell metastasis(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Tissue Invasion and Metastasis	Cancer	Gastric cancer	lncRNA	PCG	ENSG00000240990	GRCh38_7:27184507-27189298	ENSG00000196363	NA	221883	11091	HOXA-AS5|HOXA11-AS1|HOXA11AS|HOXA11S|NCRNA00076	BIG-3|CFAP89|SWD3	Over-expressed long noncoding RNA HOXA11-AS promotes cell cycle progression and metastasis in gastric cancer. Mechanistic investigation showed that HOXA11-AS could interact with WDR5 and promote beta-catenin transcription, bind with EZH2 and repress P21 transcription, and induce KLF2 mRNA degradation via interacting with STAU1.These findings show that HOXA11-AS not only could promote GC cells migration and invasion in vitro, but also promotes GC cells metastasis in vivo, at least in part, by regulating beta-catenin and KLF2.	28441948	RID02751	interact with protein
Gastric cancer	HOXA11-AS	STAU1	interact	ChIP;RIP;RNAi	upregulation	qPCR	NA	NA	cell cycle(+);cell metastasis(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Tissue Invasion and Metastasis	Cancer	Gastric cancer	lncRNA	PCG	ENSG00000240990	GRCh38_7:27184507-27189298	ENSG00000124214	NA	221883	6780	HOXA-AS5|HOXA11-AS1|HOXA11AS|HOXA11S|NCRNA00076	PPP1R150|STAU	Over-expressed long noncoding RNA HOXA11-AS promotes cell cycle progression and metastasis in gastric cancer. Mechanistic investigation showed that HOXA11-AS could interact with WDR5 and promote beta-catenin transcription, bind with EZH2 and repress P21 transcription, and induce KLF2 mRNA degradation via interacting with STAU1.These findings show that HOXA11-AS not only could promote GC cells migration and invasion in vitro, but also promotes GC cells metastasis in vivo, at least in part, by regulating beta-catenin and KLF2.	28441948	RID02752	interact with protein
Osteosarcoma	FOXP4-AS1	KDM1A	interact	ChIP;RNAi	upregulation	qPCR	NA	NA	cancer progression(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	NA	Cancer	Osteosarcoma	lncRNA	PCG	ENSG00000234753	GRCh38_6:41494853-41548621	ENSG00000004487	NA	101060264	23028	NA	AOF2|BHC110|CPRF|KDM1|LSD1	FOXP4-AS1 participates in the development and progression of osteosarcoma by downregulating LATS1 via binding to LSD1 and EZH2;upregulation FOXP4-AS1 promotes the proliferation, migration and cell cycle, but inhibits apoptosis of OS cells	29859193	RID02753	interact with protein
Osteosarcoma	FOXP4-AS1	EZH2	interact	ChIP;RNAi	upregulation	qPCR	NA	NA	cancer progression(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	NA	Cancer	Osteosarcoma	lncRNA	PCG	ENSG00000234753	GRCh38_6:41494853-41548621	ENSG00000106462	NA	101060264	2146	NA	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	FOXP4-AS1 participates in the development and progression of osteosarcoma by downregulating LATS1 via binding to LSD1 and EZH2;upregulation FOXP4-AS1 promotes the proliferation, migration and cell cycle, but inhibits apoptosis of OS cells	29859193	RID02754	interact with protein
Pancreatic cancer	DUXAP8	KDM1A	interact	ChIP;RIP	upregulation	qPCR;microarray	GSE16515;GSE15932;GSE15471	GSE16515.zip;GSE15932.zip;GSE15471.zip	cell proliferation(+);cell growth(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals;Self Sufficiency in Growth Signals	Cancer	Pancreatic cancer	lncRNA	PCG	ENSG00000271672	GRCh38_22:15826566-15827187	ENSG00000004487	NA	503637	23028	NA	AOF2|BHC110|CPRF|KDM1|LSD1	DUXAP8, a pseudogene derived lncRNA, promotes growth of pancreatic carcinoma cells by epigenetically silencing CDKN1A and KLF2.Mechanistic analyses indicated that DUXAP8 regulates PC cell proliferation partly through downregulation of tumor suppressor CDKN1A and KLF2 expression.Pancreatic cancer tissues had significantly higher DUXAP8 levels than paired adjacent normal tissues. These data indicated that DUXAP8 could function as a scaffold by binding to EZH2 and LSD1, thus epigenetically silencing CDKN1A and KLF2 in pancreatic cancer cells.	30367681	RID02755	interact with protein
Pancreatic cancer	DUXAP8	EZH2	interact	ChIP;RIP	upregulation	qPCR;microarray	GSE16515;GSE15932;GSE15471	GSE16515.zip;GSE15932.zip;GSE15471.zip	cell proliferation(+);cell growth(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals;Self Sufficiency in Growth Signals	Cancer	Pancreatic cancer	lncRNA	PCG	ENSG00000271672	GRCh38_22:15826566-15827187	ENSG00000106462	NA	503637	2146	NA	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	DUXAP8, a pseudogene derived lncRNA, promotes growth of pancreatic carcinoma cells by epigenetically silencing CDKN1A and KLF2.Mechanistic analyses indicated that DUXAP8 regulates PC cell proliferation partly through downregulation of tumor suppressor CDKN1A and KLF2 expression.Pancreatic cancer tissues had significantly higher DUXAP8 levels than paired adjacent normal tissues. These data indicated that DUXAP8 could function as a scaffold by binding to EZH2 and LSD1, thus epigenetically silencing CDKN1A and KLF2 in pancreatic cancer cells.	30367681	RID02756	interact with protein
Pre-eclampsia	HOXA11-AS	KDM1A	interact	RIP;ChIP;RNA pull-down assay	downregulation	qPCR	NA	NA	cell proliferation(+);cell migration(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cardiovascular system disease	Eclampsia	lncRNA	PCG	ENSG00000240990	GRCh38_7:27184507-27189298	ENSG00000004487	NA	221883	23028	HOXA-AS5|HOXA11-AS1|HOXA11AS|HOXA11S|NCRNA00076	AOF2|BHC110|CPRF|KDM1|LSD1	Downregulated lncRNA HOXA11-AS Affects Trophoblast Cell Proliferation and Migration by Regulating RND3 and HOXA7 Expression in PE.Mechanistic analyses showed that HOXA11-AS could recruit Ezh2 and Lsd1 protein and regulate RND3 mRNA expression in the nucleus	30195759	RID02757	interact with protein
Pre-eclampsia	HOXA11-AS	EZH2	interact	RIP;ChIP;RNA pull-down assay	downregulation	qPCR	NA	NA	cell proliferation(+);cell migration(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cardiovascular system disease	Eclampsia	lncRNA	PCG	ENSG00000240990	GRCh38_7:27184507-27189298	ENSG00000106462	NA	221883	2146	HOXA-AS5|HOXA11-AS1|HOXA11AS|HOXA11S|NCRNA00076	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	Downregulated lncRNA HOXA11-AS Affects Trophoblast Cell Proliferation and Migration by Regulating RND3 and HOXA7 Expression in PE.Mechanistic analyses showed that HOXA11-AS could recruit Ezh2 and Lsd1 protein and regulate RND3 mRNA expression in the nucleus	30195759	RID02758	interact with protein
Renal cell carcinoma	HOTTIP	KDM1A	interact	ChIP;RIP	upregulation	qPCR	NA	NA	cell growth(+);apoptosis process(-)	interact with protein	binding/interaction	RNA-protein	NA	NA	Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals;Evading Apoptosis	Cancer	Kidney cancer	lncRNA	PCG	ENSG00000243766	GRCh38_7:27198575-27207259	ENSG00000004487	NA	100316868	23028	HOXA-AS6|HOXA13-AS1|NCRNA00213	AOF2|BHC110|CPRF|KDM1|LSD1	Long non-coding RNA HOTTIP is upregulation in renal cell carcinoma and regulates cell growth and apoptosis by epigenetically silencing of LATS2.The mechanistic investigations showed that HOTTIP could bind to enhancer of zeste homolog 2 (EZH2) and lysine specific demethylase 1 (LSD1), thereby repressing LATS2 expression.	30021349	RID02759	interact with protein
Renal cell carcinoma	HOTTIP	EZH2	interact	ChIP;RIP	upregulation	qPCR	NA	NA	cell growth(+);apoptosis process(-)	interact with protein	binding/interaction	RNA-protein	NA	NA	Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals;Evading Apoptosis	Cancer	Kidney cancer	lncRNA	PCG	ENSG00000243766	GRCh38_7:27198575-27207259	ENSG00000106462	NA	100316868	2146	HOXA-AS6|HOXA13-AS1|NCRNA00213	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	Long non-coding RNA HOTTIP is upregulation in renal cell carcinoma and regulates cell growth and apoptosis by epigenetically silencing of LATS2.The mechanistic investigations showed that HOTTIP could bind to enhancer of zeste homolog 2 (EZH2) and lysine specific demethylase 1 (LSD1), thereby repressing LATS2 expression.	30021349	RID02760	interact with protein
Non-small cell lung cancer	FEZF1-AS1	KDM1A	interact	ChIP;RIP;RNAi	upregulation	qPCR	NA	NA	epithelial to mesenchymal transition(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Tissue Invasion and Metastasis	Cancer	Lung cancer	lncRNA	PCG	ENSG00000230316	GRCh38_7:122303658-122310119	ENSG00000004487	NA	154860	23028	NA	AOF2|BHC110|CPRF|KDM1|LSD1	LncRNA FEZF1-AS1 enhances epithelial-mesenchymal transition (EMT) through suppressing E-cadherin and regulating WNT pathway in non-small cell lung cancer (NSCLC);we demonstrated lncRNA FEZF1-AS1 could epigenetically repress the expression of E-cadherin via binding with LSD1 and EZH2 in NSCLC cells	28858731	RID02761	interact with protein
Non-small cell lung cancer	FEZF1-AS1	EZH2	interact	ChIP;RIP;RNAi	upregulation	qPCR	NA	NA	epithelial to mesenchymal transition(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Tissue Invasion and Metastasis	Cancer	Lung cancer	lncRNA	PCG	ENSG00000230316	GRCh38_7:122303658-122310119	ENSG00000106462	NA	154860	2146	NA	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	LncRNA FEZF1-AS1 enhances epithelial-mesenchymal transition (EMT) through suppressing E-cadherin and regulating WNT pathway in non-small cell lung cancer (NSCLC);we demonstrated lncRNA FEZF1-AS1 could epigenetically repress the expression of E-cadherin via binding with LSD1 and EZH2 in NSCLC cells	28858731	RID02762	interact with protein
Lung adenocarcinoma	CYTOR	EZH2	interact	RIP;ChIP;RNA pull-down assay	upregulation	qPCR	NA	NA	cell proliferation(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Insensitivity to Antigrowth Signals	Cancer	Lung cancer	lncRNA	PCG	ENSG00000222041	GRCh38_2:87454781-87636740	ENSG00000106462	NA	112597	2146	C2orf59|LINC00152|NCRNA00152	ENX-1|ENX1|EZH2b|KMT6|KMT6A|WVS|WVS2	Long intergenic non-coding RNA 00152 promotes lung adenocarcinoma proliferation via interacting with EZH2 and repressing IL24 expression.LINC00152 expression was upregulated in 60 human LAD tissues and paired normal tissues. LINC00152 knockdown altered the expression of many downstream genes, including IL24. LINC00152 could interact with EZH2 and inhibit IL24 transcription. EZH2 was shown to bind the promoter region of IL24, while LINC00152 knockdown reduced the histone H3 lysine 27 trimethylation (H3K27me3) occupancy of the IL24 promoter locus (Fig. 5h). However, LSD1 did not bind the IL24 promoter locus (Additional file 5: Figure S3d). These results indicated that LINC00152 repression of target IL24 expression occured, at least partially, through interaction with EZH2.	28109288	RID02763	interact with protein
Glioblastoma	HOTAIR	KDM1A	interact	RIP;ChIP	upregulation	qPCR	NA	NA	cell proliferation(+);cell invasion(+)	interact with protein	binding/interaction	RNA-protein	NA	CSC	Insensitivity to Antigrowth Signals;Tissue Invasion and Metastasis	Cancer	Brain glioma	lncRNA	PCG	ENSG00000228630	GRCh38_12:53962308-53974956	ENSG00000004487	NA	100124700	23028	HOXAS|HOXC-AS4|HOXC11-AS1|NCRNA00072	AOF2|BHC110|CPRF|KDM1|LSD1	Magnetofection based on superparamagnetic iron oxide nanoparticle-mediated low lncRNA HOTAIR expression decreases the proliferation and invasion of glioma stem cells.CD133+ human glioma stem cells express a high level of HOTAIR. An in-depth mechanistic analysis showed that downregulation of HOTAIR expression reduced the recruitment of downstream molecules, EZH2 and LSD1, thereby activating the expression of PDCD4 at the transcriptional level. In conclusion, downregulation of HOTAIR expression effectively promoted the expression of PDCD4, thereby inhibiting the proliferation, invasion and in vivo tumorigenicity of human GSCs.	27277755	RID02764	interact with protein
Non-small cell lung cancer	AGAP2-AS1	KDM1A	interact	RIP;ChIP	upregulation	qPCR;microarray	GSE18842;GSE19188	GSE18842.zip;GSE19188.zip	cell growth(+)	interact with protein	binding/interaction	RNA-protein	NA	NA	Self Sufficiency in Growth Signals;Insensitivity to Antigrowth Signals	Cancer	Lung cancer	lncRNA	PCG	ENSG00000255737	GRCh38_12:57726271-57728356	ENSG00000004487	NA	100130776	23028	PUNISHER	AOF2|BHC110|CPRF|KDM1|LSD1	Upregulated long non-coding RNA AGAP2-AS1 represses LATS2 and KLF2 expression through interacting with EZH2 and LSD1 in non-small-cell lung cancer cells.The AGAP2-AS1 expression level was significantly upregulated in NSCLC tissues and negatively correlated with poor prognostic outcomes in patients. In vivo assays also confirmed the ability of AGAP2-AS1 to promote tumor growth. Furthermore, mechanistic investigation showed that AGAP2-AS1 could bind with enhancer of zeste homolog 2 and lysine (K)-specific demethylase 1A, and recruit them to KLF2 and LATS2 promoter regions to repress their transcription.	27195672	RID02765	interact with protein
